ID,Severity,Start_Lat,Start_Lng,Distance_mi,City,State,Temperature_F,Humidity_Percent,Visibility_mi,Wind_Speed_mph,Weather_Condition,Amenity,Crossing,Junction,Traffic_Signal,Sunrise_Sunset,Hour,DayOfWeek,Month
A-1391,1,36.831322,-121.43517299999999,0.0,Hollister,CA,71.6,50.0,10.0,6.9,Clear,0,0,0,0,Day,9,2,6
A-1401,2,37.255756,-121.87595400000001,0.0,San Jose,CA,78.8,39.0,10.0,5.8,Clear,0,0,0,0,Day,10,2,6
A-1406,3,38.679146,-121.34016399999999,0.0,Sacramento,CA,89.6,26.0,10.0,4.6,Clear,0,0,0,0,Day,10,2,6
A-1440,3,38.592022,-121.55194099999999,0.0,West Sacramento,CA,100.0,21.0,10.0,10.4,Clear,0,0,0,0,Day,13,2,6
A-1449,2,38.524895,-121.467789,0.0,Sacramento,CA,100.9,13.0,10.0,9.2,Clear,0,0,1,0,Day,15,2,6
A-1480,3,37.956226,-121.32159399999999,0.0,Stockton,CA,86.0,30.0,10.0,10.4,Clear,0,0,0,0,Night,20,2,6
A-1484,2,37.343636,-121.90201599999999,0.0,San Jose,CA,72.0,53.0,10.0,6.9,Clear,0,0,0,0,Night,21,2,6
A-1490,3,37.739334,-121.59082,0.0,Tracy,CA,77.0,37.0,10.0,3.5,Clear,0,0,0,0,Night,22,2,6
A-1503,2,37.705116,-121.90906499999998,0.0,Dublin,CA,72.0,43.0,10.0,6.9,Clear,0,0,0,0,Night,0,3,6
A-1523,3,38.540779,-121.51091799999999,0.0,Sacramento,CA,91.9,27.0,10.0,6.9,Clear,0,0,0,0,Day,11,3,6
A-1525,2,37.769375,-122.405533,0.0,San Francisco,CA,62.1,62.0,10.0,23.0,Partly Cloudy,0,0,0,0,Day,11,3,6
A-1558,2,37.317539000000004,-121.931747,0.0,San Jose,CA,82.9,38.0,10.0,10.4,Partly Cloudy,0,1,1,1,Day,14,3,6
A-1561,2,38.740063,-120.69681499999999,0.0,Camino,CA,93.2,15.0,10.0,4.6,Clear,0,0,0,0,Day,14,3,6
A-1574,2,38.241405,-121.51239,0.0,Walnut Grove,CA,102.0,17.0,10.0,8.1,Clear,1,0,0,0,Day,16,3,6
A-1579,3,37.74382,-122.19933300000001,0.0,Oakland,CA,64.9,61.0,10.0,18.4,Partly Cloudy,0,0,1,0,Day,17,3,6
A-1584,3,38.8764,-121.129929,0.0,Newcastle,CA,98.6,12.0,10.0,4.6,Clear,0,0,0,0,Day,18,3,6
A-1633,2,38.247784,-122.62973000000001,0.0,Petaluma,CA,59.0,72.0,7.0,6.9,Clear,0,0,1,0,Day,9,4,6
A-1644,2,37.335892,-121.84821299999999,0.0,San Jose,CA,73.4,38.0,10.0,9.2,Clear,0,0,0,0,Day,10,4,6
A-1692,2,38.628674,-121.38297299999999,0.0,Sacramento,CA,98.6,17.0,10.0,8.1,Clear,0,0,0,0,Day,15,4,6
A-1694,2,38.703869,-121.36365500000001,0.0,Antelope,CA,98.6,18.0,9.0,4.6,Clear,0,1,0,1,Day,16,4,6
A-1717,2,38.642746,-121.12338999999999,0.0,Folsom,CA,77.0,47.0,10.0,5.8,Clear,0,0,0,0,Night,21,4,6
A-1718,3,37.964698999999996,-122.324921,0.0,San Pablo,CA,60.1,67.0,10.0,20.7,Clear,0,0,1,0,Night,21,4,6
A-1740,3,37.753693,-122.151398,0.0,Oakland,CA,57.9,78.0,9.0,3.5,Overcast,0,0,0,0,Day,8,5,6
A-1760,2,37.791451,-120.88456699999999,0.0,Oakdale,CA,87.1,32.0,10.0,4.6,Clear,0,0,0,0,Day,11,5,6
A-1762,2,38.057987,-122.531342,0.0,Novato,CA,73.4,53.0,10.0,5.8,Clear,0,0,0,0,Day,11,5,6
A-1775,3,37.317062,-121.97492199999999,0.0,San Jose,CA,78.1,42.0,10.0,4.6,Clear,0,0,0,0,Day,12,5,6
A-1791,2,38.017371999999995,-121.09558899999999,0.0,Linden,CA,93.9,26.0,10.0,6.9,Clear,0,0,0,0,Day,14,5,6
A-1804,2,38.599585999999995,-121.34201000000002,0.0,Carmichael,CA,100.4,18.0,9.0,6.9,Clear,0,0,0,0,Day,16,5,6
A-1808,2,38.663918,-121.225723,0.0,Fair Oaks,CA,102.2,15.0,10.0,6.9,Clear,0,0,0,0,Day,17,5,6
A-1825,3,37.784817,-121.30677800000001,0.0,Lathrop,CA,95.0,24.0,10.0,13.8,Clear,0,0,0,0,Day,19,5,6
A-1843,3,37.76332100000001,-122.216202,0.0,Oakland,CA,60.1,69.0,10.0,4.6,Clear,0,0,0,0,Night,21,5,6
A-1844,3,37.653599,-121.89807900000001,0.0,Pleasanton,CA,71.1,47.0,10.0,9.2,Clear,0,0,0,0,Night,21,5,6
A-1888,2,37.437992,-122.20253799999999,0.0,Menlo Park,CA,71.6,64.0,8.0,11.5,Clear,0,0,0,0,Day,12,6,7
A-1908,3,37.708939,-121.72368600000001,0.0,Livermore,CA,73.0,48.0,10.0,6.9,Clear,0,0,0,0,Day,9,7,7
A-1917,2,37.294281,-121.938446,0.0,Campbell,CA,70.0,53.0,10.0,12.7,Partly Cloudy,0,0,0,0,Day,9,7,7
A-1925,3,38.216862,-122.13784,0.0,Fairfield,CA,60.1,78.0,10.0,13.8,Mostly Cloudy,0,0,0,0,Day,9,7,7
A-1932,2,38.328682,-122.71264599999999,0.0,Cotati,CA,77.0,50.0,10.0,8.1,Clear,0,0,0,0,Day,15,7,7
A-1996,2,37.678638,-122.128578,0.0,San Lorenzo,CA,75.0,41.0,10.0,13.8,Clear,0,1,0,0,Day,16,1,7
A-2036,2,37.720791,-122.400223,0.0,San Francisco,CA,57.0,77.0,10.0,3.5,Scattered Clouds,0,0,1,0,Day,7,2,7
A-2065,2,38.141490999999995,-122.23670200000001,0.0,Vallejo,CA,68.0,63.0,10.0,24.2,Clear,0,0,0,0,Day,14,2,7
A-2072,2,38.496132,-121.441521,0.0,Sacramento,CA,82.0,41.0,10.0,9.2,Clear,0,0,0,1,Day,17,2,7
A-2100,2,38.27243,-122.67028799999999,0.0,Petaluma,CA,53.6,100.0,6.0,5.8,Overcast,0,0,0,0,Night,0,3,7
A-2126,3,37.810478,-122.36455500000001,0.0,San Francisco,CA,60.1,72.0,10.0,5.8,Overcast,0,0,1,0,Day,7,3,7
A-2129,2,36.989441,-122.020279,0.0,Santa Cruz,CA,57.0,89.0,10.0,4.6,Overcast,0,0,0,0,Day,8,3,7
A-2133,2,36.978031,-121.91030900000001,0.0,Aptos,CA,57.0,89.0,10.0,4.6,Overcast,0,0,0,0,Day,9,3,7
A-2149,2,37.408371,-122.06873300000001,0.0,Mountain View,CA,71.1,53.0,10.0,8.1,Clear,0,0,0,0,Day,10,3,7
A-2154,3,37.520065,-121.98305500000001,0.0,Fremont,CA,68.0,73.0,10.0,9.2,Partly Cloudy,0,0,0,0,Day,11,3,7
A-2157,3,37.808361,-122.24149299999999,0.0,Oakland,CA,64.0,63.0,10.0,15.0,Partly Cloudy,0,0,0,0,Day,12,3,7
A-2166,2,38.150757,-122.449348,0.0,Sonoma,CA,71.6,57.0,10.0,5.8,Clear,0,0,0,1,Day,14,3,7
A-2167,3,37.737331,-122.19333600000002,0.0,Oakland,CA,68.0,55.0,10.0,16.1,Partly Cloudy,0,0,1,0,Day,14,3,7
A-2169,2,38.292908000000004,-121.631325,0.0,Rio Vista,CA,77.0,44.0,10.0,23.0,Clear,0,0,0,0,Day,14,3,7
A-2235,2,38.101742,-121.17841299999999,0.0,Lodi,CA,68.0,56.0,10.0,5.8,Clear,1,0,0,1,Day,8,4,7
A-2268,3,38.055523,-122.22476200000001,0.0,Crockett,CA,79.0,34.0,10.0,17.3,Clear,0,0,0,0,Day,14,4,7
A-2269,2,37.684505,-122.099258,0.0,Hayward,CA,64.9,58.0,10.0,15.0,Clear,0,1,0,1,Day,14,4,7
A-2276,2,38.733096999999994,-120.77943400000001,0.0,Placerville,CA,77.0,34.0,10.0,6.9,Clear,0,0,0,0,Day,14,4,7
A-2284,2,37.956509000000004,-121.323128,0.0,Stockton,CA,87.1,30.0,10.0,5.8,Clear,0,0,0,0,Day,15,4,7
A-2300,2,38.020638,-121.982826,0.0,Concord,CA,66.0,56.0,10.0,17.3,Clear,0,0,0,0,Day,18,4,7
A-2303,2,38.495808000000004,-121.44555700000001,0.0,Sacramento,CA,75.9,43.0,10.0,10.4,Clear,0,0,1,0,Day,19,4,7
A-2310,2,37.989079,-121.25528,0.0,Stockton,CA,73.9,41.0,10.0,16.1,Clear,0,0,0,0,Day,20,4,7
A-2364,3,37.74242,-121.531723,0.0,Tracy,CA,63.0,65.0,10.0,12.7,Clear,0,0,0,0,Day,9,5,7
A-2370,3,37.693584,-122.057106,0.0,Castro Valley,CA,62.1,65.0,10.0,13.8,Mostly Cloudy,0,0,0,0,Day,10,5,7
A-2373,3,37.979092,-122.06555900000001,0.0,Pleasant Hill,CA,66.9,54.0,10.0,16.1,Clear,0,0,0,0,Day,11,5,7
A-2378,3,37.794228000000004,-122.205551,0.0,Oakland,CA,61.0,72.0,10.0,9.2,Overcast,0,0,1,0,Day,11,5,7
A-2398,3,37.314693,-121.91066000000001,0.0,San Jose,CA,72.0,55.0,10.0,13.8,Scattered Clouds,0,0,0,0,Day,14,5,7
A-2426,3,38.615318,-121.535591,0.0,Sacramento,CA,80.6,34.0,10.0,12.7,Clear,0,0,0,0,Day,18,5,7
A-2447,2,38.660976,-121.35516399999999,0.0,Sacramento,CA,71.6,50.0,9.0,10.4,Clear,0,1,0,1,Night,20,5,7
A-2452,2,38.771797,-121.251328,0.0,Roseville,CA,69.8,53.0,10.0,11.5,Clear,0,0,0,0,Night,21,5,7
A-2482,2,37.944038,-121.235229,0.0,Stockton,CA,69.1,57.0,10.0,10.4,Clear,0,0,0,0,Day,9,6,7
A-2490,2,38.529185999999996,-121.33506000000001,0.0,Sacramento,CA,71.6,53.0,10.0,5.8,Partly Cloudy,0,0,0,1,Day,11,6,7
A-2504,2,37.256069000000004,-121.871117,0.0,San Jose,CA,77.0,41.0,10.0,11.5,Clear,0,0,1,0,Day,12,6,7
A-2506,3,37.866089,-122.303436,0.0,Berkeley,CA,64.9,68.0,10.0,9.2,Partly Cloudy,0,0,0,0,Day,12,6,7
A-2522,2,37.36422,-121.90148899999998,0.0,San Jose,CA,75.9,48.0,10.0,11.5,Partly Cloudy,0,0,0,0,Day,14,6,7
A-2537,3,37.757984,-121.453354,0.0,Tracy,CA,87.1,26.0,10.0,17.3,Clear,0,0,0,0,Day,17,6,7
A-2538,3,37.839985,-122.2966,0.0,Emeryville,CA,66.0,75.0,10.0,16.1,Partly Cloudy,0,0,0,0,Day,18,6,7
A-2559,2,38.663132,-121.382828,0.0,North Highlands,CA,77.0,39.0,10.0,9.2,Clear,0,1,0,1,Night,20,6,7
A-2581,2,37.472118,-122.20451399999999,0.0,Menlo Park,CA,69.8,78.0,10.0,10.4,Scattered Clouds,1,1,0,1,Night,0,7,7
A-2595,2,38.178326,-120.92381999999999,0.0,Valley Springs,CA,73.4,44.0,10.0,6.9,Clear,0,0,0,0,Day,8,7,7
A-2600,3,37.943432,-122.480415,0.0,San Quentin,CA,62.6,88.0,10.0,5.8,Clear,0,1,0,0,Day,7,7,7
A-2607,3,37.838181,-122.29663799999999,0.0,Emeryville,CA,63.0,84.0,10.0,8.1,Overcast,0,0,0,0,Day,7,7,7
A-2620,3,37.926357,-122.060768,0.0,Walnut Creek,CA,64.9,58.0,10.0,10.4,Clear,0,0,0,0,Night,20,7,7
A-2660,3,37.866753,-122.303642,0.0,Berkeley,CA,71.1,51.0,10.0,11.5,Partly Cloudy,0,0,0,0,Day,12,1,7
A-2709,2,36.963772,-121.98735,0.0,Santa Cruz,CA,72.0,51.0,10.0,8.1,Clear,0,1,0,0,Day,11,2,7
A-2745,3,38.342995,-122.006767,0.0,Vacaville,CA,70.0,46.0,10.0,6.9,Clear,0,0,1,0,Night,0,3,7
A-2775,2,37.306686,-121.81995400000001,0.0,San Jose,CA,73.4,44.0,10.0,6.9,Clear,0,0,0,0,Day,10,3,7
A-2808,3,37.76955,-122.22098500000001,0.0,Oakland,CA,66.9,57.0,10.0,8.1,Clear,0,0,0,1,Day,12,3,7
A-2833,2,38.495540999999996,-121.51106999999999,0.0,Sacramento,CA,88.0,28.0,10.0,9.2,Clear,0,0,0,0,Day,15,3,7
A-2867,3,38.788437,-121.222595,0.0,Rocklin,CA,77.0,44.0,10.0,6.9,Clear,0,0,0,0,Night,21,3,7
A-2881,3,37.728371,-122.138046,0.0,San Leandro,CA,60.1,75.0,10.0,6.9,Partly Cloudy,0,0,0,0,Night,4,4,7
A-2912,3,37.318844,-121.902023,0.0,San Jose,CA,81.0,41.0,10.0,4.6,Clear,0,0,0,0,Day,11,4,7
A-2944,2,38.6698,-121.21248600000001,0.0,Orangevale,CA,96.8,10.0,9.0,11.5,Clear,0,0,0,0,Day,16,4,7
A-2958,3,38.641265999999995,-121.424889,0.0,Sacramento,CA,95.0,12.0,10.0,6.9,Clear,0,0,1,0,Day,19,4,7
A-2993,3,37.66637,-122.107491,0.0,Hayward,CA,72.0,53.0,10.0,8.1,Clear,0,1,0,1,Day,10,5,7
A-3044,3,37.923634,-121.2929,0.0,Stockton,CA,102.0,11.0,10.0,6.9,Clear,0,0,1,0,Day,15,5,7
A-3049,2,38.698563,-121.00778999999999,0.0,Cameron Park,CA,93.2,13.0,10.0,5.8,Clear,0,0,0,1,Day,16,5,7
A-3062,3,37.332008,-122.017372,0.0,Cupertino,CA,69.1,65.0,10.0,12.7,Clear,0,0,1,0,Day,18,5,7
A-3073,2,38.501938,-121.22332,0.0,Sloughhouse,CA,95.0,14.0,10.0,9.2,Clear,0,0,0,1,Day,19,5,7
A-3078,2,38.641907,-121.156425,0.0,Folsom,CA,84.2,25.0,10.0,5.8,Clear,0,0,0,0,Day,20,5,7
A-3111,2,38.013554,-121.99726899999999,0.0,Concord,CA,60.1,69.0,10.0,5.8,Clear,0,0,0,0,Night,1,6,7
A-3124,3,37.698409999999996,-121.93234299999999,0.0,Pleasanton,CA,57.9,75.0,10.0,6.9,Clear,0,0,0,0,Night,5,6,7
A-3126,3,37.758404,-122.21217299999999,0.0,Oakland,CA,59.0,81.0,10.0,3.5,Overcast,0,0,0,0,Day,7,6,7
A-3133,3,38.64056400000001,-121.47773000000001,0.0,Sacramento,CA,64.4,59.0,7.0,8.1,Clear,0,0,0,0,Day,7,6,7
A-3136,2,37.374687,-121.93221299999999,0.0,San Jose,CA,57.0,77.0,10.0,5.8,Mostly Cloudy,0,0,0,0,Day,8,6,7
A-3137,2,38.651775,-121.38294199999999,0.0,North Highlands,CA,68.0,52.0,9.0,6.9,Clear,0,0,0,1,Day,8,6,7
A-3146,2,38.044559,-120.647003,0.0,Angels Camp,CA,86.0,25.0,10.0,3.5,Clear,0,0,0,0,Day,9,6,7
A-3159,3,37.673382000000004,-122.46822399999999,0.0,Daly City,CA,66.0,68.0,10.0,10.4,Scattered Clouds,0,0,1,0,Day,11,6,7
A-3160,2,37.752502,-122.40300800000001,0.0,San Francisco,CA,69.1,57.0,10.0,9.2,Scattered Clouds,0,0,1,0,Day,11,6,7
A-3165,3,37.320629,-121.995506,0.0,San Jose,CA,79.0,36.0,10.0,6.9,Scattered Clouds,0,0,0,0,Day,12,6,7
A-3233,2,37.797649,-121.448936,0.0,Tracy,CA,90.0,27.0,10.0,13.8,Clear,0,0,0,0,Day,19,6,7
A-3235,3,37.788021,-121.30093400000001,0.0,Lathrop,CA,90.0,27.0,10.0,13.8,Clear,0,0,0,0,Day,19,6,7
A-3272,2,37.75015300000001,-121.13865700000001,0.0,Ripon,CA,73.9,43.0,10.0,5.8,Clear,0,0,1,0,Night,0,7,7
A-3275,3,37.718925,-121.66210900000002,0.0,Livermore,CA,59.0,78.0,10.0,6.9,Clear,0,0,0,0,Night,3,7,7
A-3305,3,37.825396999999995,-122.304802,0.0,Oakland,CA,68.0,61.0,10.0,18.4,Partly Cloudy,0,0,1,0,Day,15,7,7
A-3309,2,38.549797,-122.810722,0.0,Windsor,CA,75.0,48.0,10.0,10.4,Clear,0,0,1,0,Day,15,7,7
A-3318,2,38.21200200000001,-122.54924799999999,0.0,Petaluma,CA,73.4,53.0,10.0,13.8,Clear,0,0,0,0,Day,16,7,7
A-3334,3,37.563477,-122.03858899999999,0.0,Fremont,CA,66.9,57.0,10.0,12.7,Clear,0,0,0,0,Day,19,7,7
A-3344,2,38.423725,-121.395569,0.0,Elk Grove,CA,71.1,53.0,10.0,12.7,Clear,0,0,0,0,Night,21,7,7
A-3353,3,37.343281,-121.84701499999998,0.0,San Jose,CA,55.4,88.0,10.0,5.8,Clear,0,0,0,0,Night,1,1,7
A-3371,2,38.635490000000004,-121.34599299999999,0.0,Carmichael,CA,69.8,53.0,9.0,12.7,Clear,0,0,0,0,Day,11,2,7
